hour,pull_out,pull_in,max_in_service
0,0,1,26
1,1,21,25
2,0,2,5
3,0,3,3
4,1,0,1
5,30,0,31
6,2,0,33
7,2,1,34
8,2,1,36
9,4,0,39
10,4,1,42
11,0,0,42
12,1,0,43
13,1,1,44
14,1,1,44
15,0,1,43
16,1,1,43
17,2,0,44
18,1,9,44
19,0,6,36
20,0,1,30
21,6,4,31
22,0,2,31
23,0,3,29
