hour,pull_out,pull_in,max_in_service
0,0,2,23
1,0,19,21
2,0,2,2
4,1,0,1
5,27,0,28
6,2,0,30
7,0,0,30
8,0,0,30
9,1,0,31
10,0,0,31
11,0,1,31
12,2,0,32
13,0,0,32
14,0,2,32
15,1,0,31
16,0,0,31
17,0,2,31
18,1,0,30
19,0,2,30
20,0,1,28
21,0,4,27
22,0,0,27
23,0,0,27
